LABEL,KODE GEDUNG,NAMA LOKASI,PROVINSI,AREA,ALAMAT LOKASI,PERUNTUKAN,KAB/KOTA,WITEL,KELAS BERBAYAR,LUASAN BERBAYAR,KETERANGAN,HISTORI,SIMPAN,ID
2143202001 - STO CISALAK - OFFICE,2143202001,STO CISALAK,JAWA BARAT,TR2,"JL. PEKAPURAN NO. 8, CURUG, CIMANGGIS, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,246.71,AKTIF,,,ID001516
2143202002 - GUDANG CISALAK - GUDANG,2143202002,GUDANG CISALAK,JAWA BARAT,TR2,"JL. PEKAPURAN NO. 8, CURUG, CIMANGGIS, KAB. BOGOR",GUDANG,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,12.90,AKTIF,,,ID001517
2143202003 - HALAMAN STO CISALAK - HALAMAN,2143202003,HALAMAN STO CISALAK,JAWA BARAT,TR2,"JL. PEKAPURAN NO. 8, CURUG, CIMANGGIS, KAB. BOGOR",HALAMAN,KAB. BOGOR,PRIANGAN BARAT,KELAS 6,"1,387.06",AKTIF,,,ID001518
2143202101 - PLASA / STO CISARUA - OFFICE,2143202101,PLASA / STO CISARUA,JAWA BARAT,TR2,"JL. RAYA PUNCAK KM.19, CISARUA, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,894.98,AKTIF,,,ID001519
2143202102 - GUDANG CISARUA BOGOR - GUDANG,2143202102,GUDANG CISARUA BOGOR,JAWA BARAT,TR2,"JL. RAYA PUNCAK KM.19, CISARUA, KAB. BOGOR",GUDANG,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,149.39,AKTIF,,,ID001520
2143202103 - GEDUNG KOSONG CISARUA BOGOR - IDLE,2143202103,GEDUNG KOSONG CISARUA BOGOR,JAWA BARAT,TR2,"JL. RAYA PUNCAK KM.19, CISARUA, KAB. BOGOR",IDLE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,136.94,AKTIF,,,ID001521
2143202201 - STO CISEENG - OFFICE,2143202201,STO CISEENG,JAWA BARAT,TR2,"JL. H. USA NO. 28, KEL. CIBOGO, KEC. CISEENG, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,581.66,AKTIF,,,ID001522
2143202202 - GUDANG CISEENG - GUDANG,2143202202,GUDANG CISEENG,JAWA BARAT,TR2,"JL. H. USA NO. 28, KEL. CIBOGO, KEC. CISEENG, KAB. BOGOR",GUDANG,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,15.96,AKTIF,,,ID001523
2143202203 - GEDUNG KOSONG CISEENG - IDLE,2143202203,GEDUNG KOSONG CISEENG,JAWA BARAT,TR2,"JL. H. USA NO. 28, KEL. CIBOGO, KEC. CISEENG, KAB. BOGOR",IDLE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,34.12,AKTIF,,,ID001524
2143202204 - HALAMAN STO CISEENG - HALAMAN,2143202204,HALAMAN STO CISEENG,JAWA BARAT,TR2,"JL. H. USA NO. 28, KEL. CIBOGO, KEC. CISEENG, KAB. BOGOR",HALAMAN,KAB. BOGOR,PRIANGAN BARAT,KELAS 6,"1,583.00",AKTIF,,,ID001525
2143202301 - STO CITEUREUP - OFFICE,2143202301,STO CITEUREUP,JAWA BARAT,TR2,"JL. INDUSTRI, CITEURUP, TARI KOLOT, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,569.23,AKTIF,,,ID001526
2143202302 - GUDANG CITEUREUP - GUDANG,2143202302,GUDANG CITEUREUP,JAWA BARAT,TR2,"JL. INDUSTRI, CITEURUP, TARI KOLOT, KAB. BOGOR",GUDANG,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,122.48,AKTIF,,,ID001527
2143202303 - HALAMAN STO CITEUREUP - HALAMAN,2143202303,HALAMAN STO CITEUREUP,JAWA BARAT,TR2,"JL. INDUSTRI, CITEURUP, TARI KOLOT, KAB. BOGOR",HALAMAN,KAB. BOGOR,PRIANGAN BARAT,KELAS 6,"4,465.00",AKTIF,,,ID001528
2143202401 - PLASA / STO DRAMAGA - OFFICE,2143202401,PLASA / STO DRAMAGA,JAWA BARAT,TR2,"JL. BABAKAN RAYA NO. 7, RT. 01/07, KEL. BABAKAN, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,753.47,AKTIF,,,ID001529
2143202402 - GEDUNG KOSONG DRAMAGA - IDLE,2143202402,GEDUNG KOSONG DRAMAGA,JAWA BARAT,TR2,"JL. BABAKAN RAYA NO. 7, RT. 01/07, KEL. BABAKAN, KAB. BOGOR",IDLE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,154.22,AKTIF,,,ID001530
2143202403 - HALAMAN STO DRAMAGA - HALAMAN,2143202403,HALAMAN STO DRAMAGA,JAWA BARAT,TR2,"JL. BABAKAN RAYA NO. 7, RT. 01/07, KEL. BABAKAN, KAB. BOGOR",HALAMAN,KAB. BOGOR,PRIANGAN BARAT,KELAS 6,979.00,AKTIF,,,ID001531
