LABEL,KODE GEDUNG,NAMA LOKASI,PROVINSI,AREA,ALAMAT LOKASI,PERUNTUKAN,KAB/KOTA,WITEL,KELAS BERBAYAR,LUASAN BERBAYAR,KETERANGAN,HISTORI,SIMPAN,ID
3243201901 - STO PAGADEN - OFFICE,3243201901,STO PAGADEN,JAWA BARAT,TR3,"TERMINAL PAGADEN, KAB. SUBANG",OFFICE,KAB. SUBANG,KARAWANG,KELAS 4,240.47,AKTIF,,,ID002137
3243201902 - GUDANG PAGADEN - GUDANG,3243201902,GUDANG PAGADEN,JAWA BARAT,TR3,"TERMINAL PAGADEN, KAB. SUBANG",GUDANG,KAB. SUBANG,KARAWANG,KELAS 5,43.68,AKTIF,,,ID002138
3243201903 - HALAMAN STO PAGADEN - HALAMAN,3243201903,HALAMAN STO PAGADEN,JAWA BARAT,TR3,"TERMINAL PAGADEN, KAB. SUBANG",HALAMAN,KAB. SUBANG,KARAWANG,KELAS 6,556.01,AKTIF,,,ID002139
3243202001 - STO PAMANUKAN - OFFICE,3243202001,STO PAMANUKAN,JAWA BARAT,TR3,"JL. EYANG TIRTA PRAJA, KAB. SUBANG",OFFICE,KAB. SUBANG,KARAWANG,KELAS 4,303.06,AKTIF,,,ID002140
3243202002 - GUDANG PAMANUKAN - GUDANG,3243202002,GUDANG PAMANUKAN,JAWA BARAT,TR3,"JL. EYANG TIRTA PRAJA, KAB. SUBANG",GUDANG,KAB. SUBANG,KARAWANG,KELAS 5,53.13,AKTIF,,,ID002141
3243202003 - HALAMAN STO PAMANUKAN - HALAMAN,3243202003,HALAMAN STO PAMANUKAN,JAWA BARAT,TR3,"JL. EYANG TIRTA PRAJA, KAB. SUBANG",HALAMAN,KAB. SUBANG,KARAWANG,KELAS 6,678.39,AKTIF,,,ID002142
3243202101 - STO PURWAKARTA - OFFICE,3243202101,STO PURWAKARTA,JAWA BARAT,TR3,"JL. JEND. SUDIRMAN, RT. 38/07, KEL. NAGRI TENGAH, KEC. PURWAKARTA, KAB. PURWAKARTA",OFFICE,KAB. PURWAKARTA,KARAWANG,KELAS 4,609.60,AKTIF,,,ID002143
3243202102 - GUDANG STO PURWAKARTA - GUDANG,3243202102,GUDANG STO PURWAKARTA,JAWA BARAT,TR3,"JL. JEND. SUDIRMAN, RT. 38/07, KEL. NAGRI TENGAH, KEC. PURWAKARTA, KAB. PURWAKARTA",GUDANG,KAB. PURWAKARTA,KARAWANG,KELAS 5,203.75,AKTIF,,,ID002144
3243202103 - HALAMAN STO PURWAKARTA - HALAMAN,3243202103,HALAMAN STO PURWAKARTA,JAWA BARAT,TR3,"JL. JEND. SUDIRMAN, RT. 38/07, KEL. NAGRI TENGAH, KEC. PURWAKARTA, KAB. PURWAKARTA",HALAMAN,KAB. PURWAKARTA,KARAWANG,KELAS 6,932.17,AKTIF,,,ID002145
3243202201 - STO RENGASDENGKLOK - OFFICE,3243202201,STO RENGASDENGKLOK,JAWA BARAT,TR3,"JL. RAYA RENGASDENGKLOK, KEL. RENGASDENGKLOK SELATAN, KEC. RENGASDENGKLOK, KAB. KARAWANG",OFFICE,KAB. KARAWANG,KARAWANG,KELAS 4,225.63,AKTIF,,,ID002146
