label,kode_gedung,nama_lokasi,provinsi,kawasan,area,alamat_lokasi,peruntukan,kab_kota,witel,kelas_berbayar,luasan_berbayar,keterangan,histori,simpan,id
3223200202 - EKS CATEL PANGALENGAN - UTILITY,3223200202,EKS CATEL PANGALENGAN,JAWA BARAT,BANDUNG,TR3,"JL. RAYA PANGALENGAN NO. 344, RT. 01/07, KEL. PANGALENGAN, KEC. PANGALENGAN, KAB. BANDUNG",UTILITY,KAB. BANDUNG,BANDUNG,KELAS 5,53.41,AKTIF,,,ID001975
3223200301 - PLASA / EKS CATEL PADALARANG - OFFICE,3223200301,PLASA / EKS CATEL PADALARANG,JAWA BARAT,BANDUNG,TR3,"JL. PADALARANG CIBURUY NO. 217, RT. 04/15, KEL. CIBURUY, KEC. PADALARANG, KAB. BANDUNG BARAT",OFFICE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,383.97,AKTIF,,,ID001976
3223200302 - GEDUNG KOSONG PADALARANG - IDLE,3223200302,GEDUNG KOSONG PADALARANG,JAWA BARAT,BANDUNG,TR3,"JL. PADALARANG CIBURUY NO. 217, RT. 04/15, KEL. CIBURUY, KEC. PADALARANG, KAB. BANDUNG BARAT",IDLE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,130.07,AKTIF,,,ID001977
3223200303 - EKS CATEL PADALARANG - UTILITY,3223200303,EKS CATEL PADALARANG,JAWA BARAT,BANDUNG,TR3,"JL. PADALARANG CIBURUY NO. 217, RT. 04/15, KEL. CIBURUY, KEC. PADALARANG, KAB. BANDUNG BARAT",UTILITY,KAB. BANDUNG BARAT,BANDUNG,KELAS 5,673.96,AKTIF,,,ID001978
3223200401 - GUDANG ARSIP DAYEUH KOLOT / EKS NETRE - GUDANG,3223200401,GUDANG ARSIP DAYEUH KOLOT / EKS NETRE,JAWA BARAT,BANDUNG,TR3,"JL. RADIO PALASARI NO. 10, RT. 03/12, KEL. CITEREUP, KEC. DAYEUH KOLOT, KAB. BANDUNG",GUDANG,KAB. BANDUNG,BANDUNG,KELAS 5,951.41,AKTIF,,,ID001979
3223200402 - GUDANG ARSIP DAYEUH KOLOT / EKS NETRE - GUDANG,3223200402,GUDANG ARSIP DAYEUH KOLOT / EKS NETRE,JAWA BARAT,BANDUNG,TR3,"JL. RADIO PALASARI NO. 10, RT. 03/12, KEL. CITEREUP, KEC. DAYEUH KOLOT, KAB. BANDUNG",GUDANG,KAB. BANDUNG,BANDUNG,KELAS 5,"4,337.79",AKTIF,,,ID001980
3223200601 - PLASA BAROS - OFFICE,3223200601,PLASA BAROS,JAWA BARAT,BANDUNG,TR3,"JL. GATOT SUBROTO NO. 3, CIMAHI KOTA",OFFICE,KOTA CIMAHI,BANDUNG,KELAS 4,189.70,AKTIF,,,ID001981
3223200602 - GUDANG PLASA BAROS - GUDANG,3223200602,GUDANG PLASA BAROS,JAWA BARAT,BANDUNG,TR3,"JL. GATOT SUBROTO NO. 3, CIMAHI KOTA",GUDANG,KOTA CIMAHI,BANDUNG,KELAS 5,8.01,AKTIF,,,ID001982
3223200603 - PLASA BAROS - UTILITY,3223200603,PLASA BAROS,JAWA BARAT,BANDUNG,TR3,"JL. GATOT SUBROTO NO. 3, CIMAHI KOTA",UTILITY,KOTA CIMAHI,BANDUNG,KELAS 5,95.50,AKTIF,,,ID001983
3223200801 - PLASA / STO BANJARAN - OFFICE,3223200801,PLASA / STO BANJARAN,JAWA BARAT,BANDUNG,TR3,"JL. RAYA BANJARAN NO. 407, RT. 02/01, KEL. ARJASARI, KEC. BANJARAN, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,510.89,AKTIF,,,ID001984
3223200901 - STO BATUJAJAR - OFFICE,3223200901,STO BATUJAJAR,JAWA BARAT,BANDUNG,TR3,"JL. RAYA BATUJAJAR NO. 91, RT. 01/07, KEL. GIRI ASIH, KEC. BATUJAJAR, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,286.60,AKTIF,,,ID001985
